Name,Policy,Comment,Type,State,City
Sanya,Education Reform Policy,A waste of resources and poorly planned.,negative,Gujarat,Surat
Harshit,Renewable Energy Adoption Policy,Mixed feelings about this policy.,neutral,Rajasthan,Jaipur
Aditya,Renewable Energy Adoption Policy,Neither good nor bad at this stage.,neutral,Gujarat,Vadodara
Meera,Renewable Energy Adoption Policy,"This will bring positive changes, I support it fully.",positive,Karnataka,Mysuru
Rohan,Agriculture Sustainability Act,This step is crucial for a better future.,positive,Gujarat,Surat
Meera,Digital Privacy Act,"The idea is good, execution will matter.",neutral,West Bengal,Kolkata
Isha,Environmental Protection Act,"This will bring positive changes, I support it fully.",positive,Maharashtra,Pune
Harshit,Digital Privacy Act,This initiative will improve lives and create opportunities.,positive,Uttar Pradesh,Varanasi
Isha,Environmental Protection Act,"A very thoughtful policy, proud of this government.",positive,West Bengal,Howrah
Aditya,Transport Safety Policy,Not sure if this will help in real situations.,negative,Delhi,New Delhi
Kabir,Transport Safety Policy,A waste of resources and poorly planned.,negative,Gujarat,Ahmedabad
Ananya,Education Reform Policy,Too early to judge its effectiveness.,neutral,Tamil Nadu,Chennai
Aditya,Workplace Equality Policy,This seems more like a political stunt than a real solution.,negative,Delhi,New Delhi
Diya,Healthcare Access Policy,Let's see how this works in practice.,neutral,Punjab,Ludhiana
Diya,Agriculture Sustainability Act,"This will bring positive changes, I support it fully.",positive,Gujarat,Vadodara
Isha,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,Uttar Pradesh,Varanasi
Aarav,Digital Privacy Act,"This will bring positive changes, I support it fully.",positive,Rajasthan,Jaipur
Rohan,Healthcare Access Policy,Happy to see this reform being implemented.,positive,Tamil Nadu,Madurai
Sanya,Agriculture Sustainability Act,"This will bring positive changes, I support it fully.",positive,Delhi,New Delhi
Ananya,Healthcare Access Policy,Happy to see this reform being implemented.,positive,Punjab,Amritsar
Aditya,Education Reform Policy,Neither good nor bad at this stage.,neutral,Delhi,New Delhi
Aarav,Renewable Energy Adoption Policy,Not sure if this will help in real situations.,negative,Punjab,Amritsar
Sanya,Education Reform Policy,This seems more like a political stunt than a real solution.,negative,Gujarat,Surat
Kabir,Education Reform Policy,A waste of resources and poorly planned.,negative,West Bengal,Kolkata
Diya,Agriculture Sustainability Act,A waste of resources and poorly planned.,negative,Kerala,Kozhikode
Ananya,Workplace Equality Policy,Mixed feelings about this policy.,neutral,Gujarat,Ahmedabad
Isha,Healthcare Access Policy,A waste of resources and poorly planned.,negative,Kerala,Thiruvananthapuram
Isha,Transport Safety Policy,Happy to see this reform being implemented.,positive,Karnataka,Bengaluru
Sanya,Education Reform Policy,"This will bring positive changes, I support it fully.",positive,Uttar Pradesh,Varanasi
Aarav,Agriculture Sustainability Act,"A very thoughtful policy, proud of this government.",positive,Uttar Pradesh,Lucknow
Isha,Education Reform Policy,"This will bring positive changes, I support it fully.",positive,West Bengal,Siliguri
Isha,Renewable Energy Adoption Policy,A waste of resources and poorly planned.,negative,Tamil Nadu,Coimbatore
Rohan,Cybersecurity Protection Policy,Happy to see this reform being implemented.,positive,West Bengal,Siliguri
Harshit,Education Reform Policy,This step is crucial for a better future.,positive,Maharashtra,Mumbai
Harshit,Environmental Protection Act,Not sure if this will help in real situations.,negative,Maharashtra,Mumbai
Aditya,Education Reform Policy,The implementation will likely fail like before.,negative,Gujarat,Ahmedabad
Ananya,Healthcare Access Policy,This initiative will improve lives and create opportunities.,positive,Maharashtra,Mumbai
Diya,Renewable Energy Adoption Policy,"The idea is good, execution will matter.",neutral,Rajasthan,Jodhpur
Harshit,Education Reform Policy,Let's see how this works in practice.,neutral,Karnataka,Mysuru
Ananya,Environmental Protection Act,Happy to see this reform being implemented.,positive,Rajasthan,Udaipur
Kabir,Cybersecurity Protection Policy,Neither good nor bad at this stage.,neutral,Maharashtra,Nagpur
Harshit,Education Reform Policy,"A very thoughtful policy, proud of this government.",positive,Rajasthan,Jodhpur
Isha,Housing Development Scheme,Let's see how this works in practice.,neutral,Uttar Pradesh,Lucknow
Aditya,Housing Development Scheme,The implementation will likely fail like before.,negative,Karnataka,Mangalore
Aarav,Digital Privacy Act,Too early to judge its effectiveness.,neutral,Tamil Nadu,Madurai
Ananya,Cybersecurity Protection Policy,This step is crucial for a better future.,positive,Delhi,New Delhi
Meera,Healthcare Access Policy,Mixed feelings about this policy.,neutral,Maharashtra,Nagpur
Harshit,Healthcare Access Policy,This seems more like a political stunt than a real solution.,negative,Kerala,Kozhikode
Rohan,Healthcare Access Policy,This step is crucial for a better future.,positive,Karnataka,Mangalore
Harshit,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,Karnataka,Bengaluru
Aditya,Transport Safety Policy,"A very thoughtful policy, proud of this government.",positive,Delhi,New Delhi
Meera,Renewable Energy Adoption Policy,The implementation will likely fail like before.,negative,West Bengal,Kolkata
Sanya,Workplace Equality Policy,Not sure if this will help in real situations.,negative,West Bengal,Howrah
Isha,Cybersecurity Protection Policy,The implementation will likely fail like before.,negative,Karnataka,Mysuru
Diya,Renewable Energy Adoption Policy,This step is crucial for a better future.,positive,Uttar Pradesh,Varanasi
Ananya,Environmental Protection Act,This seems more like a political stunt than a real solution.,negative,Uttar Pradesh,Lucknow
Rohan,Environmental Protection Act,This is just another headline without substance.,negative,Punjab,Chandigarh
Sanya,Healthcare Access Policy,The implementation will likely fail like before.,negative,Maharashtra,Mumbai
Kabir,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,Punjab,Ludhiana
Ananya,Renewable Energy Adoption Policy,This initiative will improve lives and create opportunities.,positive,Gujarat,Surat
Ananya,Environmental Protection Act,This seems more like a political stunt than a real solution.,negative,Kerala,Kochi
Harshit,Housing Development Scheme,Neither good nor bad at this stage.,neutral,Tamil Nadu,Chennai
Isha,Housing Development Scheme,This seems more like a political stunt than a real solution.,negative,Kerala,Thiruvananthapuram
Aarav,Housing Development Scheme,Neither good nor bad at this stage.,neutral,Tamil Nadu,Coimbatore
Aditya,Environmental Protection Act,Neither good nor bad at this stage.,neutral,West Bengal,Siliguri
Ananya,Environmental Protection Act,Happy to see this reform being implemented.,positive,Kerala,Kochi
Meera,Cybersecurity Protection Policy,This initiative will improve lives and create opportunities.,positive,Uttar Pradesh,Lucknow
Aditya,Workplace Equality Policy,"The idea is good, execution will matter.",neutral,Tamil Nadu,Coimbatore
Aarav,Housing Development Scheme,The implementation will likely fail like before.,negative,Punjab,Chandigarh
Kabir,Renewable Energy Adoption Policy,"This will bring positive changes, I support it fully.",positive,Uttar Pradesh,Lucknow
Kabir,Workplace Equality Policy,Not sure if this will help in real situations.,negative,Maharashtra,Pune
Isha,Environmental Protection Act,The implementation will likely fail like before.,negative,Gujarat,Surat
Diya,Healthcare Access Policy,A waste of resources and poorly planned.,negative,Rajasthan,Udaipur
Harshit,Renewable Energy Adoption Policy,Neither good nor bad at this stage.,neutral,Maharashtra,Nagpur
Aditya,Environmental Protection Act,A waste of resources and poorly planned.,negative,Kerala,Thiruvananthapuram
Ananya,Cybersecurity Protection Policy,Too early to judge its effectiveness.,neutral,Rajasthan,Jodhpur
Rohan,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,West Bengal,Siliguri
Aarav,Agriculture Sustainability Act,This seems more like a political stunt than a real solution.,negative,Tamil Nadu,Chennai
Ananya,Renewable Energy Adoption Policy,Mixed feelings about this policy.,neutral,Maharashtra,Nagpur
Isha,Housing Development Scheme,A waste of resources and poorly planned.,negative,Maharashtra,Mumbai
Sanya,Environmental Protection Act,This step is crucial for a better future.,positive,Uttar Pradesh,Varanasi
Meera,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,Karnataka,Mysuru
Aditya,Housing Development Scheme,Too early to judge its effectiveness.,neutral,Maharashtra,Mumbai
Aarav,Agriculture Sustainability Act,Mixed feelings about this policy.,neutral,Gujarat,Vadodara
Sanya,Healthcare Access Policy,A waste of resources and poorly planned.,negative,Gujarat,Ahmedabad
Ananya,Renewable Energy Adoption Policy,Let's see how this works in practice.,neutral,Maharashtra,Mumbai
Ananya,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,Rajasthan,Jaipur
Sanya,Digital Privacy Act,Mixed feelings about this policy.,neutral,Kerala,Kozhikode
Isha,Housing Development Scheme,Happy to see this reform being implemented.,positive,Karnataka,Bengaluru
Aarav,Workplace Equality Policy,This is just another headline without substance.,negative,Rajasthan,Udaipur
Kabir,Education Reform Policy,Neither good nor bad at this stage.,neutral,Uttar Pradesh,Lucknow
Meera,Education Reform Policy,This seems more like a political stunt than a real solution.,negative,Maharashtra,Mumbai
Rohan,Workplace Equality Policy,This step is crucial for a better future.,positive,Rajasthan,Jodhpur
Ananya,Renewable Energy Adoption Policy,This seems more like a political stunt than a real solution.,negative,Karnataka,Mysuru
Diya,Environmental Protection Act,"A very thoughtful policy, proud of this government.",positive,Punjab,Amritsar
Ananya,Environmental Protection Act,Happy to see this reform being implemented.,positive,West Bengal,Siliguri
Harshit,Cybersecurity Protection Policy,A waste of resources and poorly planned.,negative,Tamil Nadu,Coimbatore
Rohan,Environmental Protection Act,This is just another headline without substance.,negative,Delhi,New Delhi
Meera,Transport Safety Policy,Let's see how this works in practice.,neutral,Karnataka,Mangalore
Ananya,Agriculture Sustainability Act,This initiative will improve lives and create opportunities.,positive,Punjab,Chandigarh
Aarav,Digital Privacy Act,Neither good nor bad at this stage.,neutral,West Bengal,Howrah
Ananya,Agriculture Sustainability Act,This initiative will improve lives and create opportunities.,positive,West Bengal,Kolkata
Rohan,Digital Privacy Act,"This will bring positive changes, I support it fully.",positive,West Bengal,Siliguri
Aarav,Housing Development Scheme,Let's see how this works in practice.,neutral,West Bengal,Siliguri
Kabir,Renewable Energy Adoption Policy,Mixed feelings about this policy.,neutral,West Bengal,Howrah
Aditya,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,Delhi,New Delhi
Aarav,Environmental Protection Act,The implementation will likely fail like before.,negative,Punjab,Ludhiana
Kabir,Workplace Equality Policy,Happy to see this reform being implemented.,positive,Uttar Pradesh,Varanasi
Sanya,Housing Development Scheme,A waste of resources and poorly planned.,negative,Punjab,Ludhiana
Isha,Digital Privacy Act,The implementation will likely fail like before.,negative,Kerala,Kochi
Aditya,Digital Privacy Act,Let's see how this works in practice.,neutral,Kerala,Kozhikode
Isha,Healthcare Access Policy,This step is crucial for a better future.,positive,Uttar Pradesh,Lucknow
Harshit,Housing Development Scheme,A waste of resources and poorly planned.,negative,Gujarat,Surat
Meera,Cybersecurity Protection Policy,Neither good nor bad at this stage.,neutral,Karnataka,Bengaluru
Meera,Cybersecurity Protection Policy,Let's see how this works in practice.,neutral,Gujarat,Ahmedabad
Kabir,Education Reform Policy,"A very thoughtful policy, proud of this government.",positive,Gujarat,Surat
Sanya,Renewable Energy Adoption Policy,A waste of resources and poorly planned.,negative,Uttar Pradesh,Varanasi
Sanya,Healthcare Access Policy,A waste of resources and poorly planned.,negative,Gujarat,Ahmedabad
Ananya,Agriculture Sustainability Act,Too early to judge its effectiveness.,neutral,Kerala,Kochi
Aditya,Renewable Energy Adoption Policy,Too early to judge its effectiveness.,neutral,West Bengal,Howrah
Meera,Transport Safety Policy,Let's see how this works in practice.,neutral,Maharashtra,Mumbai
Diya,Environmental Protection Act,The implementation will likely fail like before.,negative,Gujarat,Ahmedabad
Rohan,Cybersecurity Protection Policy,Happy to see this reform being implemented.,positive,Uttar Pradesh,Kanpur
Rohan,Workplace Equality Policy,Let's see how this works in practice.,neutral,West Bengal,Siliguri
Rohan,Transport Safety Policy,Not sure if this will help in real situations.,negative,Uttar Pradesh,Kanpur
Harshit,Cybersecurity Protection Policy,Let's see how this works in practice.,neutral,Punjab,Chandigarh
Diya,Renewable Energy Adoption Policy,Let's see how this works in practice.,neutral,Karnataka,Bengaluru
Diya,Transport Safety Policy,Mixed feelings about this policy.,neutral,Rajasthan,Jodhpur
Sanya,Digital Privacy Act,This step is crucial for a better future.,positive,Kerala,Kozhikode
Rohan,Environmental Protection Act,This seems more like a political stunt than a real solution.,negative,West Bengal,Kolkata
Diya,Education Reform Policy,This is just another headline without substance.,negative,Punjab,Amritsar
Isha,Environmental Protection Act,The implementation will likely fail like before.,negative,Uttar Pradesh,Kanpur
Ananya,Healthcare Access Policy,Happy to see this reform being implemented.,positive,Rajasthan,Jaipur
Ananya,Education Reform Policy,Happy to see this reform being implemented.,positive,Punjab,Chandigarh
Kabir,Renewable Energy Adoption Policy,This seems more like a political stunt than a real solution.,negative,Kerala,Thiruvananthapuram
Kabir,Housing Development Scheme,Happy to see this reform being implemented.,positive,Kerala,Kochi
Harshit,Cybersecurity Protection Policy,Happy to see this reform being implemented.,positive,Gujarat,Surat
Kabir,Environmental Protection Act,This seems more like a political stunt than a real solution.,negative,Rajasthan,Udaipur
Harshit,Healthcare Access Policy,"The idea is good, execution will matter.",neutral,Punjab,Chandigarh
Diya,Digital Privacy Act,Happy to see this reform being implemented.,positive,Delhi,New Delhi
Kabir,Education Reform Policy,Neither good nor bad at this stage.,neutral,Karnataka,Bengaluru
Ananya,Housing Development Scheme,The implementation will likely fail like before.,negative,Maharashtra,Nagpur
Kabir,Housing Development Scheme,"The idea is good, execution will matter.",neutral,Uttar Pradesh,Varanasi
Isha,Transport Safety Policy,Not sure if this will help in real situations.,negative,Karnataka,Mysuru
Ananya,Workplace Equality Policy,"A very thoughtful policy, proud of this government.",positive,Punjab,Ludhiana
Harshit,Transport Safety Policy,"The idea is good, execution will matter.",neutral,Kerala,Kochi
Aarav,Renewable Energy Adoption Policy,The implementation will likely fail like before.,negative,Tamil Nadu,Madurai
Sanya,Education Reform Policy,"The idea is good, execution will matter.",neutral,Tamil Nadu,Chennai
Aarav,Education Reform Policy,"The idea is good, execution will matter.",neutral,Tamil Nadu,Chennai
Kabir,Renewable Energy Adoption Policy,Let's see how this works in practice.,neutral,West Bengal,Kolkata
Meera,Education Reform Policy,The implementation will likely fail like before.,negative,Gujarat,Vadodara
Diya,Renewable Energy Adoption Policy,This initiative will improve lives and create opportunities.,positive,Rajasthan,Jodhpur
Rohan,Agriculture Sustainability Act,Not sure if this will help in real situations.,negative,West Bengal,Howrah
Meera,Workplace Equality Policy,"A very thoughtful policy, proud of this government.",positive,Karnataka,Bengaluru
Ananya,Digital Privacy Act,Happy to see this reform being implemented.,positive,Punjab,Amritsar
Isha,Renewable Energy Adoption Policy,"The idea is good, execution will matter.",neutral,Maharashtra,Nagpur
Rohan,Digital Privacy Act,The implementation will likely fail like before.,negative,Karnataka,Bengaluru
Kabir,Cybersecurity Protection Policy,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
Aarav,Workplace Equality Policy,Let's see how this works in practice.,neutral,Gujarat,Surat
Diya,Education Reform Policy,Let's see how this works in practice.,neutral,Kerala,Kochi
Harshit,Workplace Equality Policy,Not sure if this will help in real situations.,negative,West Bengal,Howrah
Diya,Renewable Energy Adoption Policy,Too early to judge its effectiveness.,neutral,Gujarat,Surat
Aarav,Renewable Energy Adoption Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Kolkata
Meera,Renewable Energy Adoption Policy,"The idea is good, execution will matter.",neutral,Rajasthan,Udaipur
Kabir,Workplace Equality Policy,This is just another headline without substance.,negative,Rajasthan,Jodhpur
Ananya,Agriculture Sustainability Act,Mixed feelings about this policy.,neutral,Kerala,Kozhikode
Kabir,Housing Development Scheme,"The idea is good, execution will matter.",neutral,Kerala,Kochi
Diya,Healthcare Access Policy,This is just another headline without substance.,negative,Delhi,New Delhi
Sanya,Housing Development Scheme,Happy to see this reform being implemented.,positive,Delhi,New Delhi
Kabir,Healthcare Access Policy,Too early to judge its effectiveness.,neutral,Uttar Pradesh,Kanpur
Harshit,Agriculture Sustainability Act,"A very thoughtful policy, proud of this government.",positive,Rajasthan,Jaipur
Diya,Healthcare Access Policy,Let's see how this works in practice.,neutral,Gujarat,Surat
Meera,Agriculture Sustainability Act,This step is crucial for a better future.,positive,Kerala,Thiruvananthapuram
Ananya,Digital Privacy Act,This step is crucial for a better future.,positive,Rajasthan,Udaipur
Aarav,Cybersecurity Protection Policy,Mixed feelings about this policy.,neutral,West Bengal,Howrah
Aarav,Housing Development Scheme,Neither good nor bad at this stage.,neutral,Karnataka,Bengaluru
Harshit,Transport Safety Policy,Mixed feelings about this policy.,neutral,Tamil Nadu,Coimbatore
Aarav,Workplace Equality Policy,Let's see how this works in practice.,neutral,Gujarat,Vadodara
Diya,Transport Safety Policy,"This will bring positive changes, I support it fully.",positive,Karnataka,Mysuru
Rohan,Education Reform Policy,Happy to see this reform being implemented.,positive,Karnataka,Mangalore
Kabir,Workplace Equality Policy,Happy to see this reform being implemented.,positive,Tamil Nadu,Coimbatore
Diya,Environmental Protection Act,"This will bring positive changes, I support it fully.",positive,Rajasthan,Jodhpur
Meera,Transport Safety Policy,"The idea is good, execution will matter.",neutral,West Bengal,Kolkata
Isha,Cybersecurity Protection Policy,The implementation will likely fail like before.,negative,Gujarat,Vadodara
Aditya,Education Reform Policy,This initiative will improve lives and create opportunities.,positive,Maharashtra,Nagpur
Ananya,Digital Privacy Act,A waste of resources and poorly planned.,negative,Punjab,Amritsar
Kabir,Healthcare Access Policy,This seems more like a political stunt than a real solution.,negative,Kerala,Thiruvananthapuram
Isha,Workplace Equality Policy,Happy to see this reform being implemented.,positive,Rajasthan,Jaipur
Harshit,Renewable Energy Adoption Policy,The implementation will likely fail like before.,negative,Kerala,Thiruvananthapuram
Isha,Transport Safety Policy,This step is crucial for a better future.,positive,West Bengal,Kolkata
Meera,Environmental Protection Act,"A very thoughtful policy, proud of this government.",positive,Punjab,Amritsar
Ananya,Agriculture Sustainability Act,"This will bring positive changes, I support it fully.",positive,Gujarat,Surat
Sanya,Environmental Protection Act,A waste of resources and poorly planned.,negative,Kerala,Thiruvananthapuram
Sanya,Transport Safety Policy,A waste of resources and poorly planned.,negative,Gujarat,Surat
Rohan,Digital Privacy Act,This initiative will improve lives and create opportunities.,positive,Karnataka,Bengaluru
Aarav,Digital Privacy Act,This initiative will improve lives and create opportunities.,positive,Uttar Pradesh,Lucknow
Aarav,Agriculture Sustainability Act,Let's see how this works in practice.,neutral,West Bengal,Siliguri
Rohan,Agriculture Sustainability Act,The implementation will likely fail like before.,negative,Maharashtra,Mumbai
Meera,Workplace Equality Policy,Mixed feelings about this policy.,neutral,Gujarat,Vadodara
Isha,Environmental Protection Act,This initiative will improve lives and create opportunities.,positive,West Bengal,Siliguri
Kabir,Transport Safety Policy,This seems more like a political stunt than a real solution.,negative,Punjab,Amritsar
Isha,Agriculture Sustainability Act,Mixed feelings about this policy.,neutral,West Bengal,Kolkata
Isha,Workplace Equality Policy,Too early to judge its effectiveness.,neutral,Punjab,Amritsar
Diya,Cybersecurity Protection Policy,Too early to judge its effectiveness.,neutral,Rajasthan,Udaipur
Aarav,Transport Safety Policy,"This will bring positive changes, I support it fully.",positive,Maharashtra,Mumbai
Aarav,Education Reform Policy,Happy to see this reform being implemented.,positive,Tamil Nadu,Chennai
Sanya,Agriculture Sustainability Act,Too early to judge its effectiveness.,neutral,Punjab,Ludhiana
Rohan,Housing Development Scheme,This step is crucial for a better future.,positive,Maharashtra,Pune
Aarav,Transport Safety Policy,Let's see how this works in practice.,neutral,West Bengal,Siliguri
Meera,Healthcare Access Policy,Not sure if this will help in real situations.,negative,Rajasthan,Udaipur
Ananya,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,Delhi,New Delhi
Sanya,Digital Privacy Act,"This will bring positive changes, I support it fully.",positive,Gujarat,Vadodara
Aarav,Digital Privacy Act,This initiative will improve lives and create opportunities.,positive,Gujarat,Vadodara
Isha,Healthcare Access Policy,"This will bring positive changes, I support it fully.",positive,Gujarat,Surat
Isha,Workplace Equality Policy,Too early to judge its effectiveness.,neutral,Rajasthan,Jaipur
Aarav,Transport Safety Policy,Let's see how this works in practice.,neutral,Uttar Pradesh,Lucknow
Meera,Cybersecurity Protection Policy,This step is crucial for a better future.,positive,Punjab,Chandigarh
Isha,Cybersecurity Protection Policy,"This will bring positive changes, I support it fully.",positive,Karnataka,Mysuru
Aditya,Housing Development Scheme,"This will bring positive changes, I support it fully.",positive,Kerala,Kochi
Harshit,Renewable Energy Adoption Policy,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
Rohan,Housing Development Scheme,This initiative will improve lives and create opportunities.,positive,Rajasthan,Jodhpur
Isha,Cybersecurity Protection Policy,Mixed feelings about this policy.,neutral,Punjab,Amritsar
Aarav,Renewable Energy Adoption Policy,Let's see how this works in practice.,neutral,Gujarat,Vadodara
Aditya,Renewable Energy Adoption Policy,A waste of resources and poorly planned.,negative,Tamil Nadu,Chennai
Diya,Digital Privacy Act,Mixed feelings about this policy.,neutral,Delhi,New Delhi
Kabir,Renewable Energy Adoption Policy,The implementation will likely fail like before.,negative,Kerala,Thiruvananthapuram
Aarav,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,Delhi,New Delhi
Sanya,Education Reform Policy,A waste of resources and poorly planned.,negative,Gujarat,Ahmedabad
Diya,Housing Development Scheme,This initiative will improve lives and create opportunities.,positive,Maharashtra,Pune
Diya,Renewable Energy Adoption Policy,This is just another headline without substance.,negative,Tamil Nadu,Coimbatore
Rohan,Agriculture Sustainability Act,A waste of resources and poorly planned.,negative,Punjab,Ludhiana
Rohan,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,West Bengal,Kolkata
Ananya,Education Reform Policy,This seems more like a political stunt than a real solution.,negative,Rajasthan,Jodhpur
Aditya,Environmental Protection Act,Not sure if this will help in real situations.,negative,Uttar Pradesh,Lucknow
Aditya,Cybersecurity Protection Policy,The implementation will likely fail like before.,negative,West Bengal,Kolkata
Kabir,Housing Development Scheme,This is just another headline without substance.,negative,West Bengal,Kolkata
Meera,Housing Development Scheme,This is just another headline without substance.,negative,Tamil Nadu,Madurai
Harshit,Renewable Energy Adoption Policy,Mixed feelings about this policy.,neutral,Gujarat,Vadodara
Diya,Cybersecurity Protection Policy,Happy to see this reform being implemented.,positive,Rajasthan,Udaipur
Harshit,Cybersecurity Protection Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Howrah
Rohan,Renewable Energy Adoption Policy,This is just another headline without substance.,negative,Karnataka,Mangalore
Kabir,Digital Privacy Act,The implementation will likely fail like before.,negative,Delhi,New Delhi
Rohan,Digital Privacy Act,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
Ananya,Digital Privacy Act,Happy to see this reform being implemented.,positive,Kerala,Thiruvananthapuram
Sanya,Workplace Equality Policy,"The idea is good, execution will matter.",neutral,Delhi,New Delhi
Kabir,Workplace Equality Policy,This seems more like a political stunt than a real solution.,negative,Punjab,Chandigarh
Aditya,Agriculture Sustainability Act,A waste of resources and poorly planned.,negative,Karnataka,Mangalore
Ananya,Healthcare Access Policy,Not sure if this will help in real situations.,negative,Gujarat,Ahmedabad
Harshit,Housing Development Scheme,"This will bring positive changes, I support it fully.",positive,Uttar Pradesh,Lucknow
Sanya,Healthcare Access Policy,Happy to see this reform being implemented.,positive,Delhi,New Delhi
Isha,Education Reform Policy,Mixed feelings about this policy.,neutral,Rajasthan,Jodhpur
Meera,Renewable Energy Adoption Policy,"A very thoughtful policy, proud of this government.",positive,Karnataka,Mysuru
Sanya,Healthcare Access Policy,This seems more like a political stunt than a real solution.,negative,Karnataka,Mangalore
Aditya,Healthcare Access Policy,"This will bring positive changes, I support it fully.",positive,Maharashtra,Pune
Rohan,Digital Privacy Act,This is just another headline without substance.,negative,Uttar Pradesh,Kanpur
Sanya,Workplace Equality Policy,Let's see how this works in practice.,neutral,Kerala,Kochi
Aditya,Digital Privacy Act,This is just another headline without substance.,negative,Uttar Pradesh,Lucknow
Diya,Renewable Energy Adoption Policy,"This will bring positive changes, I support it fully.",positive,Gujarat,Vadodara
Harshit,Transport Safety Policy,This seems more like a political stunt than a real solution.,negative,Delhi,New Delhi
Meera,Transport Safety Policy,Happy to see this reform being implemented.,positive,Uttar Pradesh,Lucknow
Aditya,Workplace Equality Policy,This is just another headline without substance.,negative,Uttar Pradesh,Kanpur
Rohan,Environmental Protection Act,Mixed feelings about this policy.,neutral,Gujarat,Surat
Aditya,Environmental Protection Act,This initiative will improve lives and create opportunities.,positive,Kerala,Thiruvananthapuram
Aarav,Workplace Equality Policy,A waste of resources and poorly planned.,negative,Delhi,New Delhi
Sanya,Housing Development Scheme,Neither good nor bad at this stage.,neutral,West Bengal,Siliguri
Diya,Digital Privacy Act,The implementation will likely fail like before.,negative,Rajasthan,Jodhpur
Aarav,Healthcare Access Policy,This initiative will improve lives and create opportunities.,positive,Punjab,Ludhiana
Rohan,Housing Development Scheme,This step is crucial for a better future.,positive,Uttar Pradesh,Kanpur
Ananya,Environmental Protection Act,Not sure if this will help in real situations.,negative,Tamil Nadu,Madurai
Diya,Education Reform Policy,"A very thoughtful policy, proud of this government.",positive,Tamil Nadu,Chennai
Ananya,Transport Safety Policy,Let's see how this works in practice.,neutral,Tamil Nadu,Madurai
Ananya,Healthcare Access Policy,"A very thoughtful policy, proud of this government.",positive,Kerala,Kozhikode
Sanya,Education Reform Policy,"This will bring positive changes, I support it fully.",positive,Tamil Nadu,Coimbatore
Aditya,Education Reform Policy,This initiative will improve lives and create opportunities.,positive,Tamil Nadu,Coimbatore
Harshit,Housing Development Scheme,"A very thoughtful policy, proud of this government.",positive,West Bengal,Siliguri
Isha,Digital Privacy Act,Happy to see this reform being implemented.,positive,Gujarat,Surat
Harshit,Healthcare Access Policy,Let's see how this works in practice.,neutral,Tamil Nadu,Madurai
Harshit,Cybersecurity Protection Policy,This is just another headline without substance.,negative,Delhi,New Delhi
Rohan,Environmental Protection Act,This is just another headline without substance.,negative,Kerala,Kozhikode
Aarav,Cybersecurity Protection Policy,Too early to judge its effectiveness.,neutral,Karnataka,Mysuru
Aarav,Housing Development Scheme,"The idea is good, execution will matter.",neutral,West Bengal,Howrah
Aditya,Agriculture Sustainability Act,"This will bring positive changes, I support it fully.",positive,Punjab,Ludhiana
Harshit,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,Delhi,New Delhi
Meera,Environmental Protection Act,Neither good nor bad at this stage.,neutral,Rajasthan,Jodhpur
Rohan,Housing Development Scheme,Let's see how this works in practice.,neutral,Gujarat,Ahmedabad
Aditya,Workplace Equality Policy,Not sure if this will help in real situations.,negative,Gujarat,Ahmedabad
Kabir,Education Reform Policy,This seems more like a political stunt than a real solution.,negative,Karnataka,Mangalore
Kabir,Education Reform Policy,"This will bring positive changes, I support it fully.",positive,Tamil Nadu,Chennai
Aditya,Digital Privacy Act,Let's see how this works in practice.,neutral,Delhi,New Delhi
Harshit,Environmental Protection Act,Neither good nor bad at this stage.,neutral,Rajasthan,Udaipur
Diya,Workplace Equality Policy,Neither good nor bad at this stage.,neutral,West Bengal,Kolkata
Ananya,Agriculture Sustainability Act,Mixed feelings about this policy.,neutral,Tamil Nadu,Madurai
Kabir,Agriculture Sustainability Act,This step is crucial for a better future.,positive,Maharashtra,Mumbai
Harshit,Workplace Equality Policy,This is just another headline without substance.,negative,Kerala,Kochi
Kabir,Healthcare Access Policy,This is just another headline without substance.,negative,Uttar Pradesh,Varanasi
Sanya,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,Maharashtra,Nagpur
Kabir,Housing Development Scheme,Let's see how this works in practice.,neutral,Tamil Nadu,Chennai
Aarav,Cybersecurity Protection Policy,Neither good nor bad at this stage.,neutral,Tamil Nadu,Madurai
Aditya,Transport Safety Policy,Not sure if this will help in real situations.,negative,Delhi,New Delhi
Ananya,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,Delhi,New Delhi
